Year;Nominal Return S&P 500 (includes dividends);Nominal Return US T. Bond (10-year);Nominal Value S&P 500 (includes dividends);Nominal Value US T. Bond (10-year);Nominal Historical Risk Premium;Inflation Rate (CPI for all urban consumers);Real Return S&P 500 (includes dividends);Real Return US T. Bond (10-year)
1942;0.19173762945914843;0.022948682374484164;111.61416273305268;163.71740846371824;;0.0903226;0.09301378276406314;-0.0617926452460178
1943;0.25061310133060394;0.0249;139.5861342080017;167.79397193446482;;0.0295858;0.214675941850212;-0.004551150569481521
1944;0.1903067694944301;0.025776111579070303;166.15032047534245;172.11904807734297;;0.0229885;0.1635583093010624;0.0027249686375458992
1945;0.358210843373494;0.03804417341923723;225.6671668995912;178.66717499115143;;0.0224719;0.3283600687446706;0.015230025802408065
1946;-0.08429147465437781;0.031283745375695685;206.64534862054904;184.2565534005695;;0.1813187;-0.22484209777969133;-0.12700633167349695
1947;0.052;0.009196968062832236;217.3909067488176;185.95115503756207;;0.08837210000000001;-0.033418809614836564;-0.07274638144175838
1948;0.057045751633986834;0.019510369413175046;229.79213442269784;189.5791307651515;;0.0273387;0.028916511793030564;-0.007620009434887387
1949;0.18303223684210526;0.04663485182797314;271.851502794806;198.42012543806027;;-0.0182952;0.20507940558312976;0.06614009815167754
1950;0.30805539011316263;0.00429595741710961;355.5968235411095;199.2725298476397;;0.058026299999999996;0.2363165170026138;-0.0507835604681004
1951;0.2367846304454234;-0.0029531392208319886;439.7966859908575;198.68405032411223;;0.0596477;0.16716587073743794;-0.059077030243949835
1952;0.18150988641144306;0.022679961918305656;519.6241325091871;203.19019701923781;;0.0090669;0.17089351202724323;0.013490742703289094
1953;-0.012082047421904465;0.04143840258908851;513.3460090986451;211.61007420547722;;0.0059903;-0.01796473328013637;0.03523702225467651
1954;0.525633212414349;0.032898034558095555;783.1777209412517;218.57162973953018;;-0.0037216;0.5313322183983402;0.03675642727785289
1955;0.3259733185102835;-0.013364391288618781;1038.4727616197922;215.65055295509998;;0.0037355;0.32103857889880727;-0.017036252367898408
1956;0.07439511873350935;-0.022557738173154165;1115.730066022012;210.7859642446429;;0.0282843;0.04484248056058937;-0.049443561642586675
1957;-0.1045736018855796;0.0679701284662499;999.0541542860545;225.11311331323367;;0.030401699999999997;-0.13099289518406243;0.036459983001047025
1958;0.43719954988747184;-0.020990181755274694;1435.8401808531264;220.38794814929315;;0.0175623;0.4123946513028951;-0.03788709718832417
1959;0.12056457163557326;-0.026466312591385065;1608.9516371948275;214.55509182219998;;0.0151881;0.10379994765066014;-0.041031226224366835
1960;0.00336535314743695;0.11639503690963365;1614.366327651135;239.52823965399477;0.061119788031217315;0.0136008;-0.010098104552169973;0.10141491296142768
1961;0.2663771295818275;0.020609208076323167;2044.3965961044005;244.46472698517934;0.06617359182997262;0.006709199999999999;0.2579373761378436;0.013807371658392631
1962;-0.08811460517120888;0.05693544054008462;1864.2553972252979;258.383433912592;0.05968346537898994;0.0123292;-0.09922049583397252;0.04406297925623859
1963;0.22611927099841514;0.016841620739546127;2285.7994686007432;262.7350297119295;0.06361899391151482;0.0164582;0.2062662989962747;0.00037721250076594437
1964;0.16415455878432425;0.037280648911540815;2661.023871838341;272.5299621113832;0.06526777744265821;0.0119819;0.1503709293459934;0.024999210866855304
1965;0.12399242477876114;0.007188550935926234;2990.9706741017444;274.48905762558695;0.06661794168987445;0.0192;0.10281831316597434;-0.011785173728486975
1966;-0.0997095423563779;0.029079409324299622;2692.7423569857124;282.47103728732264;0.061123719679815336;0.033595;-0.12897173685667784;-0.00436882016234641
1967;0.23802966513133328;-0.015806209932824666;3333.6949185039784;278.0062407720165;0.06573283877673952;0.0328068;0.1987040220216727;-0.04706883216960289
1968;0.10814862651601535;0.032746196950768365;3694.2294451636035;287.1098878858797;0.06596627828748769;0.0470588;0.05834421764662623;-0.013669340298015475
1969;-0.08241371076449064;-0.050140493209926106;3389.7742881722256;272.7140565018351;0.06333387273419877;0.0589888;-0.13352597380113063;-0.10305046966495413
1970;0.03561144905496419;0.16754737183412338;3510.489062543298;318.4065799309402;0.05897256666631501;0.0557029;-0.019031349582383283;0.10594313213890327
1971;0.14221150298426474;0.09786896619712297;4009.720988337403;349.56870273914296;0.05866063680987854;0.0326633;0.10608317636955311;0.06314320088369851
1972;0.18755362915074925;0.02818449050444969;4761.7587115820115;359.42111852214714;0.06080430372818957;0.0340633;0.14843417143877868;-0.0056851543764778745
1973;-0.14308047437526472;0.036586646024150085;4080.444016268308;372.57113175912104;0.054960045718843054;0.08941179999999999;-0.21341082809573453;-0.048489610609917855
1974;-0.2590178575089697;0.019886086932378574;3023.5361494891954;379.98011367377757;0.046417018581159875;0.1209503;-0.3389696737749833;-0.09015940587876337
1975;0.36995137106184356;0.03605253602603384;4142.097493447771;393.6793604111778;0.051706756781676244;0.07129089999999999;0.2787855950814515;-0.032893366287313874
1976;0.23830999002106662;0.1598456074290921;5129.200705777594;456.607276908399;0.05219658803895011;0.0503597;0.1789389768296199;0.10423658431401361
