Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2023;5.525.371;0;3.805.201;137.782;163.812;149.389;139.097;134.208;123.697;872.184;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79.342.069;b3S;I;2;S4;9;MARINGA;PR;12/2023;5.502.376;409.494;3.009.276;1.203.690;395.017;194.491;90.232;46.528;34.026;119.622;0
BANCO PACCAR S.A.;28.517.628;b2;I;3;S4;8;PONTA GROSSA;PR;12/2023;5.417.309;354.443;1.328.036;3.494.090;80.371;45.358;50.794;12.586;1.610;50.019;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;12/2023;5.293.866;400.013;1.209.275;1.575.066;1.362.142;294.735;139.525;79.507;53.023;180.581;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;12/2023;5.217.472;179.614;2.145.099;2.006.329;466.633;224.599;61.180;37.544;26.708;69.766;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;12/2023;5.199.417;362.554;3.576.703;747.538;364.225;105.843;18.900;5.602;11.291;6.759;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;12/2023;5.193.981;3.387.662;1.246.399;159.683;62.606;48.452;34.451;12.487;14.290;22.880;205.071
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75.647.891;b1;C;3;S3;8;SAO PAULO;SP;12/2023;5.173.910;5.173.910;0;0;0;0;0;0;0;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;12/2023;4.954.843;55.258;1.981.699;1.478.179;865.984;242.255;53.638;25.806;20.214;231.810;0
BANCO FIBRA S.A.;58.616.418;b1;C;2;S3;8;SAO PAULO;SP;12/2023;4.902.676;2.748.414;963.512;873.207;34.575;33.181;9.687;18.350;45.977;28.733;147.040
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;12/2023;4.897.309;2.826.795;1.632.420;224.008;132.637;51.502;10.027;6.062;4.736;9.122;0
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;15.581.638;n1;C;2;S4;14;PORTO ALEGRE;RS;12/2023;4.752.531;0;3.544.574;161.646;696.199;78.990;52.124;30.684;27.384;160.929;0
WILL S.A. INSTITUICAO DE PAGAMENTO;36.272.465;n4;C;2;S4;41;SAO PAULO;SP;12/2023;4.647.988;0;4.537.980;51.697;21.581;13.648;9.763;5.840;3.733;3.746;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32.430.233;b3S;I;2;S5;9;LINHARES;ES;12/2023;4.647.452;191.317;641.673;1.210.280;1.769.441;531.546;77.632;28.853;20.687;176.022;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2023;4.549.432;3.036.437;1.394.463;10.552;0;0;0;0;31.188;0;76.792
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;12/2023;4.482.820;0;2.994.948;105.350;182.228;248.560;144.424;134.572;127.191;545.547;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;12/2023;4.481.289;261.493;2.000.176;1.197.095;547.785;221.432;76.573;66.207;25.877;84.651;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;12/2023;4.472.628;41.976;1.691.083;1.370.128;717.487;332.495;130.759;53.081;29.009;106.609;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32.995.755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;12/2023;4.436.698;236.205;2.038.556;1.028.766;515.920;193.689;121.285;62.511;66.045;173.721;0
