Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
CIELO IP - PRUDENCIAL;1000084710;n4;;2;C;2;BARUERI;SP;12/2023;NA;NA;NA;NA;11.982.573;13.344.367;38.636;NA;NA;NA;NA;38.636;NA;17.110.522;30.493.525;NA;NA%;NA%;39,30%;NA;NA%;NA%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;1;C;2;PORTO ALEGRE;RS;12/2023;4.792.704;980.137;5.772.840;397.831;6.170.672;26.766.197;148.469;0;164.216;0;136.757;449.441;2.950.367;0;30.166.006;164.043.035;15,89%;19,14%;20,46%;754.150;3,52%;1,55%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;3;C;2;SAO PAULO;SP;12/2023;9.329.408;0;9.329.408;0;9.329.408;6.111.825;18.446;0;74.569;0;49.668;142.682;11.125.653;10.658.346;28.038.505;0;33,27%;33,27%;33,27%;700.963;NI%;NA%
BRB - PRUDENCIAL;1000080288;b1;S3;1;C;1;BRASILIA;DF;12/2023;2.184.025;443.700;2.627.724;1.443.271;4.070.996;25.872.211;51.840;0;0;0;0;51.840;1.810.956;0;27.735.006;52.047.074;7,87%;9,47%;14,68%;693.375;5,05%;15,64%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;12/2023;6.138.173;0;6.138.173;0;6.138.173;22.367.940;85.425;0;256.735;0;0;342.160;4.035.634;0;26.745.734;49.459.655;22,95%;22,95%;22,95%;668.643;12,41%;9,76%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;12/2023;2.394.295;110.802;2.505.097;884.521;3.389.618;23.121.514;27.497;0;308.930;992;4.540;341.960;2.048.341;0;25.511.815;40.175.124;9,39%;9,82%;13,29%;637.795;6,24%;37,80%
BANCOOB - PRUDENCIAL;1000080879;b1;S3;1;C;2;BRASILIA;DF;12/2023;4.121.366;0;4.121.366;0;4.121.366;19.695.391;419.429;0;9.925;0;0;429.354;4.489.887;0;24.614.631;134.800.057;16,74%;16,74%;16,74%;615.366;3,06%;12,77%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;;C;3;SAO PAULO;SP;12/2023;5.246.768;0;5.246.768;0;5.246.768;8.116.871;602.115;0;9.757.617;0;913.024;11.272.756;4.523.919;0;23.913.547;36.487.708;21,94%;21,94%;21,94%;597.839;14,38%;1,69%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;;I;3;CURITIBA;PR;12/2023;2.419.744;0;2.419.744;699.394;3.119.138;22.355.261;183.253;0;0;0;45.376;228.629;1.256.787;0;23.840.677;26.075.425;10,15%;10,15%;13,08%;596.017;9,28%;0,11%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;;C;3;SAO PAULO;SP;12/2023;5.698.537;0;5.698.537;0;5.698.537;8.117.331;503.890;0;6.012.497;533.843;1.134.291;8.184.521;3.986.670;0;20.288.521;33.346.987;28,09%;28,09%;28,09%;507.213;17,09%;0,78%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;;C;3;SAO PAULO;SP;12/2023;5.307.666;0;5.307.666;0;5.307.666;4.602.015;468.204;1.871.226;5.094.871;3.008.966;1.714.308;12.157.576;3.141.436;0;19.901.026;19.922.273;26,67%;26,67%;26,67%;995.051;26,64%;1,65%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;;C;1;PORTO ALEGRE;RS;12/2023;4.091.817;0;4.091.817;0;4.091.817;17.679.403;12.423;0;113.867;3.336;0;129.625;1.465.033;0;19.274.061;24.137.668;21,23%;21,23%;21,23%;481.852;16,95%;1,01%
