Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2023;14.484.609;81.624;717.003;1.959.795;3.770.152;2.244.771;1.058.909;0;9.832.255;8.764;19.417;34.311;34.233;7.672;2.772;0;107.170;75.444;303.507;698.837;971.555;113.352;0;0;2.162.695;14;413;1.191;2.555;1.874;3.766;415;10.229;63.519;983.742;47.626;67.450;86.582;174.270;0;1.423.189;0;42;422;1.015;358;0;0;1.837;5.670;279.291;299.496;239.501;62.152;55.227;3.909;945.245;1.990
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2023;12.086.505;140;1.897;4.544;5.367;1.280;6;0;13.233;25.963;139.836;375.850;223.914;8.438;1.012;12.871;787.884;284;3.100;5.919;8.007;1.020;0;0;18.330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118.701;2.226.607;2.829.200;2.969.815;1.224.824;1.684.139;59.940;11.113.224;15.012;74.168;62.475;1.078;275;825;0;153.833;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2023;11.264.955;39.450;540.622;1.440.598;2.575.923;1.359.465;458.611;0;6.414.669;75.975;774.999;1.580.716;1.220.939;332.026;109.046;6;4.093.707;0;11;23;34;6;0;0;74;0;1.023;2.974;7.280;6.421;21.910;6.288;45.897;22.887;432.312;70.991;1.108;0;12.928;0;540.226;0;12.072;995;1.249;625;0;0;14.941;37.258;57.816;47.615;11.763;950;39;0;155.441;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;03/2023;10.988.936;11.092;368.626;1.452.535;2.677.643;1.648.349;2.383.188;1.277;8.542.711;22.056;254.091;581.747;483.406;119.347;25.976;0;1.486.623;11;11;27;71;68;45;0;233;130;13.092;39.231;91.666;73.892;207.135;77.508;502.654;40.992;92.524;28.574;3.349;0;0;0;165.439;66;0;1.023;46.451;32.992;33.475;0;114.006;5.445;16.730;29.804;51.342;30.714;40.834;2.402;177.270;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;03/2023;10.736.434;0;0;0;0;0;0;0;0;375.864;254.338;457.213;557.707;144.821;10.818;0;1.800.762;0;0;0;0;0;0;0;0;7;15;21;48;35;106;64;295;1.175.617;1.421.658;440.218;17.966;822;70;0;3.056.350;0;1.502;90.451;0;0;0;0;91.953;584.646;1.101.891;1.637.392;1.753.970;639.817;12.747;56.611;5.787.074;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2023;10.337.428;713;4.307;11.564;13.926;2.800;19;0;33.328;7.534;11.164;40.331;35.726;7.227;28;0;102.010;76.339;1.241.946;3.341.080;4.705.677;834.803;2.246;0;10.202.090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2023;9.776.339;0;0;0;0;0;0;0;0;717;5.219;14.095;28.074;12.069;28;0;60.202;5.544;22.613;62.072;119.511;46.838;110;0;256.688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.572;1.702.187;564.309;4.024.561;2.354.802;783.704;0;9.447.135;1;6.049;6.054;142;68;0;0;12.314;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;03/2023;8.822.861;43.014;408.161;1.044.809;1.942.168;1.119.224;524.748;0;5.082.124;213.274;629.238;1.292.330;588.679;28.401;9.002;0;2.760.924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.729;211.231;33.400;94.920;183.989;411.140;0;977.409;0;0;0;0;0;0;0;0;1.825;87;365;76;42;8;0;2.403;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;03/2023;8.704.272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.106;2.066.738;333.332;3.412.592;2.135.009;590.615;0;8.553.393;1.687;81.949;24.282;34.319;7.494;1.149;0;150.879;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;03/2023;8.534.347;0;0;0;0;0;0;0;0;808;11.186;31.204;55.603;25.609;3.940;0;128.350;0;32;88;186;99;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.942;701.786;1.650.680;3.321.519;1.932.328;779.063;0;8.403.318;83;509;83;819;451;331;0;2.275;0
