Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;03/2013;4.573.439;2.509.693;4.297.250;4.102.085;276.188;-17.287;217.771;18,79%;0,00%;2;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;03/2013;4.359.356;1.643.988;3.651.644;2.738.561;707.712;556;673.394;21,05%;45,74%;17;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;03/2013;4.270.151;2.522.550;3.771.705;3.374.224;498.446;-91.433;485.301;14,18%;12,16%;12;1
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;03/2013;4.179.953;2.094.868;3.873.945;2.414.315;306.007;-63.489;239.524;7,76%;41,14%;1;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;03/2013;4.061.854;2.314.904;3.626.842;3.417.354;435.012;34.528;435.008;20,04%;13,54%;44;42
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;03/2013;3.917.133;2.988.286;2.217.856;1.832.301;1.699.276;8.837;1.249.260;35,51%;2,10%;1;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;03/2013;3.845.957;2.506.530;2.605.464;2.531.425;1.240.494;39.516;1.239.871;26,63%;47,82%;2;0
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;03/2013;3.826.669;3.190.303;3.158.125;3.061.573;668.544;9.632;668.544;16,70%;0,34%;1;0
ING;51073;b1;;C;3;SAO PAULO;SP;03/2013;3.732.176;1.460.851;2.924.371;2.576.021;807.805;9.996;807.805;39,81%;0,44%;2;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;03/2013;3.719.329;2.688.422;3.357.097;2.753.699;362.232;23.689;392.963;14,20%;4,62%;2;0
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;03/2013;3.510.739;3.453.717;3.003.376;2.868.921;507.363;19.531;620.404;16,78%;0,64%;2;0
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;03/2013;3.436.104;3.340.506;2.946.622;2.719.927;489.482;9.321;538.561;14,73%;6,15%;1;0
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;03/2013;3.408.407;2.405.517;3.033.815;1.598.123;374.592;-2.139;561.887;16,11%;15,11%;5;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;03/2013;3.208.861;2.611.470;2.577.221;1.340.376;631.640;10.210;547.800;16,71%;0,12%;4;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;03/2013;3.206.208;1.607.868;2.928.418;2.629.890;277.790;22.878;357.080;16,21%;23,09%;61;10
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;03/2013;3.178.803;1.971.150;2.343.018;2.300.789;835.785;16.278;811.175;28,98%;7,45%;0;50
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;03/2013;3.175.632;2.772.474;2.534.101;311.377;641.531;34.588;641.531;25,39%;1,07%;1;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;03/2013;3.108.754;2.575.930;2.411.979;2.312.338;696.774;14.838;482.774;17,26%;0,87%;1;0
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;03/2013;3.068.668;847.408;1.141.217;821.133;1.927.451;-17.288;1.926.665;56,21%;7,78%;2;0
BBM;30207;b1;;C;2;SALVADOR;BA;03/2013;3.057.264;1.223.423;2.511.922;2.309.217;545.342;9.238;544.744;23,72%;11,05%;9;0
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;03/2013;3.032.402;543.651;2.267.062;1.543.479;765.340;-4.061;773.382;23,39%;2,50%;5;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;3;RIBEIRAO PRETO;SP;03/2013;2.920.437;24;2.792.722;2.583.683;127.715;4.975;73.234;19,59%;12,80%;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;03/2013;2.728.286;1.010.236;2.068.301;1.784.538;659.985;10.043;732.801;33,88%;0,30%;1;0
COOPERATIVA CENTRAL DE CRÉDITO DOS ESTADOS DO PARANÁ E DE SÃO PAULO - CENTRAL SICREDI PR/SP;80230774;b3C;;I;2;CURITIBA;PR;03/2013;2.628.367;84.887;2.496.523;296;131.845;-4;70.499;18,54%;4,03%;0;0
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;03/2013;2.520.407;2.407.005;2.199.192;632.748;321.215;21.108;0;NI%;0,00%;3;0
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;03/2013;2.493.165;0;2.299.762;817.630;193.403;119;193.403;26,30%;0,45%;1;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;03/2013;2.316.715;1.283.288;1.873.818;1.735.745;442.897;532;460.850;19,10%;7,35%;8;0
HONDA;51396;b2;;C;3;SAO PAULO;SP;03/2013;2.309.288;2.165.315;1.860.823;1.763.952;448.465;16.997;447.586;22,93%;0,13%;2;0
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;03/2013;2.089.647;89.670;1.964.490;1.731.008;125.157;4.520;72.312;12,76%;32,17%;0;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;;I;3;RIO DE JANEIRO;RJ;03/2013;1.993.242;0;1.886.783;0;106.459;13.251;105.303;14,92%;14,54%;4;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;03/2013;1.968.050;61.959;1.732.059;166.086;235.991;10.670;149.311;17,59%;48,43%;0;1
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;03/2013;1.945.540;1.439.111;1.540.475;1.425.627;405.064;13.843;405.060;15,81%;23,61%;3;0
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;03/2013;1.902.010;1.255.197;1.602.387;1.516.187;299.623;19.773;299.623;26,65%;0,06%;1;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;03/2013;1.865.365;1.197.001;1.572.685;1.498.992;292.680;6.791;278.244;17,47%;4,37%;0;25
BANIF;20255;b1;;C;3;SAO PAULO;SP;03/2013;1.750.015;1.182.300;1.573.424;1.344.213;176.591;-30.849;255.504;13,25%;2,58%;15;0
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;03/2013;1.699.342;1.162.852;1.360.087;1.121.931;339.256;4.100;339.253;19,19%;14,92%;47;0
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;03/2013;1.657.117;195.631;1.515.489;777.889;141.628;7.416;178.013;27,95%;3,49%;4;0
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;;I;2;CUIABA;MT;03/2013;1.624.598;166.394;1.526.512;90.925;98.087;0;61.794;16,89%;2,42%;0;0
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;03/2013;1.590.276;1.570.817;1.434.144;1.364.405;156.133;1.726;216.012;13,93%;0,57%;1;0
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;03/2013;1.562.387;1.473.096;1.137.218;309.241;425.169;49.637;0;NI%;0,00%;2;0
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;03/2013;1.525.896;520.418;1.341.563;620.968;184.334;8.671;183.673;15,93%;15,22%;14;1
