Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2021;7.167.158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.106;906.893;2.274.884;3.283.042;648.177;1.056;0;7.167.158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;03/2021;6.784.978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.669;1.518.896;269.205;2.640.583;1.641.878;563.330;0;6.654.562;1.498;58.250;30.793;33.869;5.537;469;0;130.416;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;03/2021;6.624.967;11.276;230.972;903.996;1.670.333;975.718;1.189.670;0;4.981.966;20.323;223.652;482.473;458.152;157.172;39.191;0;1.380.963;0;6;15;71;68;116;0;276;4;2.188;6.602;15.580;12.925;37.996;15.447;90.742;5.487;39.254;14.522;1.138;0;0;2;60.404;1.029;15;392;952;538;118;0;3.044;2.963;11.589;22.186;33.996;18.206;18.012;620;107.573;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2021;6.415.536;0;0;0;0;0;0;0;0;5;1.046;2.918;4.883;1.527;8;0;10.388;688;7.657;19.641;38.240;15.429;68;0;81.724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.332;1.316.187;291.312;2.440.919;1.657.522;574.662;0;6.289.934;2.626;14.964;15.900;0;0;0;0;33.490;0
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;03/2021;6.038.535;5.379;284.678;821.837;1.643.714;1.028.108;687.486;0;4.471.202;358;19.007;50.677;77.819;3.797;1;0;151.659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.452;869.236;415.892;3.742;0;0;0;1.343.322;0;0;0;0;0;0;0;0;14.108;550;6.615;51.079;0;0;0;72.351;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2021;5.845.938;15.917;282.462;808.261;1.456.898;757.731;378.274;0;3.699.542;64.809;318.446;671.640;512.025;66.510;27.463;0;1.660.894;3;529;1.058;340;0;0;0;1.930;10;264;4.342;8.009;7.004;21.948;8.274;49.852;12.448;233.703;48.194;712;0;0;0;295.057;0;10.620;6.990;10.248;0;0;0;27.859;10.005;40.518;37.217;18.744;4.296;25;0;110.805;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;03/2021;5.600.382;0;0;0;0;0;0;0;0;2;1.472;5.236;7.653;3.192;415;0;17.970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.193;545.923;978.347;2.285.835;1.188.300;456.298;0;5.464.897;0;8.380;14.307;41.141;28.069;25.618;0;117.515;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2021;5.506.751;26.839;386.679;1.049.609;2.050.957;1.225.040;749.206;0;5.488.330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325;1.205;3.013;5.945;3.336;4.571;25;18.421;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;03/2021;5.408.661;0;0;0;0;0;0;0;0;0;140.916;1.010.397;3.712.055;293.267;100.000;0;5.256.635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.702;1.124;149.200;0;0;152.026;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;03/2021;5.392.735;0;0;0;0;0;0;0;0;0;159;537;502;6;0;0;1.204;13.984;709.792;1.896.709;2.453.301;275.124;703;0;5.349.613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;6.371;15.463;18.267;1.705;0;0;41.918;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2021;4.695.991;3.982;242.392;639.755;1.144.698;652.602;427.586;0;3.111.015;165;12.576;30.950;92.765;8.040;270;0;144.767;3.666;188.444;486.025;679.652;81.915;207;0;1.439.907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;62;21;0;0;0;301;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;03/2021;4.559.114;0;0;0;0;0;0;0;0;11.755;98.807;250.554;376.050;76.207;9.271;0;822.644;0;0;0;0;0;0;0;0;5;21;52;123;88;220;53;562;65.963;480.584;147.753;3.019;2;0;0;697.320;0;9.497;105.216;27.322;0;0;0;142.034;27.017;548.841;674.536;1.477.338;121.519;13.656;33.646;2.896.553;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;03/2021;3.911.799;0;0;0;0;0;0;0;0;7;128.193;359.322;1.355.308;1.161.935;589.769;0;3.594.533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;243.609;73.330;220;0;0;0;317.266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2021;3.785.548;0;0;0;0;0;0;0;0;12;47;48;0;0;0;0;108;47.414;535.577;1.313.312;1.798.800;90.337;0;0;3.785.441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2021;3.707.577;237;464;990;414;0;0;0;2.106;114.541;110.304;77.810;5.374;0;0;0;308.029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;477.613;2.089.525;813.509;16.795;0;0;0;3.397.442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2021;3.653.116;0;0;0;0;0;0;0;0;35.670;97.187;138.085;82.076;6.601;0;0;359.618;108.273;404.217;869.582;967.863;94.436;0;0;2.444.372;0;0;0;0;0;0;0;0;169.280;456.741;124.283;1.940;0;0;0;752.244;0;0;0;0;0;0;0;0;6.180;41.631;45.247;3.823;1;0;0;96.882;0
