Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Adicional de Capital Principal;Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;;
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;06/2023;1.401.809;0;1.401.809;393.775;1.795.584;11.224.341;8.783;0;0;0;8.783;458.009;11.691.133;13.151.376;11,99%;11,99%;15,36%;292.278;10,66%;2,13%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;06/2023;1.709.390;0;1.709.390;0;1.709.390;9.704.392;144.781;0;18.004;0;162.785;1.041.950;10.909.128;15.277.924;15,67%;15,67%;15,67%;272.728;11,19%;3,69%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;06/2023;2.425.928;0;2.425.928;0;2.425.928;9.004.755;0;0;0;0;0;1.896.661;10.901.416;15.374.078;22,25%;22,25%;22,25%;272.535;15,78%;1,83%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;06/2023;1.134.474;61.869;1.196.343;437.806;1.634.149;8.882.139;1.662;0;89;1.700;3.451;1.200.666;10.086.257;17.308.533;11,25%;11,86%;16,20%;252.156;6,91%;23,12%
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;06/2023;2.186.890;0;2.186.890;0;2.186.890;8.634.136;164.487;0;486.785;0;651.271;607.676;9.893.084;12.774.682;22,11%;22,11%;22,11%;494.654;17,12%;0,18%
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;06/2023;1.280.229;0;1.280.229;12.285;1.292.514;9.490.652;0;0;0;0;0;206.292;9.696.945;10.504.233;13,20%;13,20%;13,33%;242.424;12,19%;0,64%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;06/2023;2.445.842;0;2.445.842;0;2.445.842;8.222.216;0;0;0;0;0;1.213.864;9.436.081;13.885.015;25,92%;25,92%;25,92%;235.902;17,61%;3,79%
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;CAMPINAS;SP;06/2023;975.867;0;975.867;280.020;1.255.887;7.825.869;73;0;26.525;0;26.598;911.859;8.764.327;15.663.245;11,13%;11,13%;14,33%;219.108;6,23%;27,22%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;06/2023;6.066.521;0;6.066.521;0;6.066.521;3.937.524;1.833;43;1.056;38;2.970;4.798.546;8.739.040;7.218.148;69,42%;69,42%;69,42%;436.952;84,05%;0,33%
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;06/2023;2.740.227;0;2.740.227;0;2.740.227;8.139.271;0;0;0;0;0;522.411;8.661.683;12.191.822;31,64%;31,64%;31,64%;216.542;22,48%;1,87%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;06/2023;1.190.892;0;1.190.892;0;1.190.892;7.617.051;0;0;0;54.878;54.878;646.187;8.318.117;10.608.071;14,32%;14,32%;14,32%;207.953;11,23%;8,54%
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;06/2023;797.113;0;797.113;149.458;946.571;7.250.299;17.031;5.825;41.813;750;65.419;784.793;8.100.511;18.195.166;9,84%;9,84%;11,69%;202.513;4,38%;16,90%
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;06/2023;878.809;0;878.809;0;878.809;7.593.703;0;0;0;0;0;346.140;7.939.843;11.122.519;11,07%;11,07%;11,07%;198.496;7,90%;1,68%
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;06/2023;980.709;109.007;1.089.716;0;1.089.716;7.113.144;74.479;0;8.353;0;82.832;491.751;7.687.727;12.864.636;12,76%;14,17%;14,17%;192.193;8,47%;9,43%
HSBC BI - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;06/2023;911.164;547.473;1.458.637;0;1.458.637;4.453.327;23.950;0;1.686.702;0;1.710.652;1.093.384;7.257.363;10.611.265;12,56%;20,10%;20,10%;181.434;13,75%;6,04%
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;06/2023;648.399;0;648.399;157.591;805.989;6.363.130;154.586;0;64.509;8.972;228.067;649.067;7.240.264;14.373.903;8,96%;8,96%;11,13%;181.007;4,51%;3,22%
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;06/2023;1.236.894;0;1.236.894;0;1.236.894;6.221.929;0;0;0;0;0;675.543;6.897.472;9.024.923;17,93%;17,93%;17,93%;172.437;13,71%;0,02%
BANCOSEGURO S.A.;10264663;b1;S4;I;2;SAO PAULO;SP;06/2023;760.420;273.643;1.034.063;0;1.034.063;6.242.035;0;0;0;0;0;581.280;6.823.315;21.093.970;11,14%;15,15%;15,15%;170.583;4,90%;0,00%
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;06/2023;1.791.691;0;1.791.691;0;1.791.691;5.922.548;157.627;0;909;0;158.536;741.364;6.822.448;8.752.782;26,26%;26,26%;26,26%;170.561;20,47%;0,88%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;06/2023;1.201.390;0;1.201.390;31.731;1.233.121;6.653.297;62.214;0;0;0;62.214;86.531;6.802.041;9.960.183;17,66%;17,66%;18,13%;170.051;12,06%;7,21%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S4;I;2;MARINGA;PR;06/2023;976.217;0;976.217;82.500;1.058.717;6.481.208;0;0;0;0;0;248.805;6.730.014;10.672.591;14,51%;14,51%;15,73%;168.250;9,15%;30,67%
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;06/2023;673.614;0;673.614;135.646;809.260;5.118.293;36.784;227;19.709;17.950;74.671;1.509.572;6.702.536;14.839.965;10,05%;10,05%;12,07%;167.563;4,54%;32,06%
