Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;06/2023;14.961.503;3.455;14.432;40.682;48.521;9.158;59;0;116.308;18.969;27.224;67.101;25.579;1.349;3;0;140.226;40.893;225.994;563.102;713.833;101.343;164;0;1.645.329;0;0;0;0;0;0;0;0;1.226.456;7.089.728;3.872.697;401.992;125.953;3.545;0;12.720.371;0;0;0;0;0;0;0;0;4.200;51.955;123.188;148.950;10.964;12;0;339.269;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;06/2023;12.207.175;135;1.854;4.422;5.121;1.183;3;0;12.719;20.285;149.980;400.003;247.707;16.898;24.244;9.454;868.571;441;1.926;5.741;6.391;755;0;0;15.254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160.369;1.204.054;3.292.354;3.178.322;1.339.954;1.790.271;185.305;11.150.629;16.502;76.534;64.544;1.282;285;854;0;160.001;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2023;11.852.641;41.930;557.633;1.471.372;2.626.468;1.362.816;411.426;0;6.471.644;93.220;871.905;1.584.653;1.449.773;387.093;130.766;6;4.517.416;0;9;18;32;4;0;0;64;0;1.028;2.989;7.316;6.452;21.997;6.014;45.797;23.462;481.706;81.556;1.376;0;70.147;0;658.247;0;3.238;996;1.269;635;0;0;6.138;45.689;48.954;47.918;10.176;559;39;0;153.336;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;06/2023;11.658.618;12.310;400.836;1.548.842;2.829.814;1.735.584;2.499.321;1.670;9.028.376;24.774;270.766;609.360;501.229;108.023;23.767;0;1.537.920;23;9;27;68;71;36;0;234;251;15.838;46.971;110.475;88.998;247.407;92.811;602.751;37.887;98.471;30.186;3.896;0;0;0;170.441;78;653;9.651;49.521;30.149;31.577;0;121.630;5.047;17.842;31.416;62.089;34.566;43.986;2.321;197.267;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2023;11.331.046;708;4.379;11.124;13.767;2.711;20;0;32.709;8.962;15.326;34.795;31.381;7.090;15;0;97.569;76.596;1.347.474;3.542.580;5.266.294;965.089;2.734;0;11.200.767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;06/2023;10.074.714;45.710;486.683;1.262.572;2.362.363;1.364.784;630.770;0;6.152.882;209.457;690.203;1.271.115;657.332;36.190;10.932;0;2.875.230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.330;231.635;36.640;111.525;215.616;405.806;0;1.044.552;0;0;0;0;0;0;0;0;1.459;85;398;56;40;11;0;2.050;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2023;10.068.949;0;0;0;0;0;0;0;0;331.015;248.369;444.322;357.024;58.512;9.216;0;1.448.457;0;0;0;0;0;0;0;0;6;11;17;48;33;103;59;277;862.745;1.309.713;385.041;16.951;590;15;0;2.575.055;0;76.275;12.542;0;0;0;0;88.817;671.020;1.283.110;1.927.433;1.631.122;385.228;1.820;56.611;5.956.344;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;06/2023;9.639.361;0;0;0;0;0;0;0;0;1.143;5.958;16.471;31.408;12.599;37;0;67.616;7.855;24.353;64.767;121.545;43.267;80;0;261.867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125.754;336.468;2.315.954;3.824.941;2.227.628;477.956;0;9.308.701;0;914;66;142;55;0;0;1.177;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;06/2023;8.965.139;0;0;0;0;0;0;0;0;1.130;12.185;41.691;68.017;33.368;3.982;0;160.372;0;32;268;468;285;0;0;1.053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.874;974.949;1.469.287;3.449.176;2.068.746;764.853;0;8.762.884;6.417;14.586;14.101;4.903;675;147;0;40.829;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;06/2023;7.873.431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108.076;105.697;2.166.157;3.275.122;1.749.441;376.676;0;7.781.168;7.619;10.936;42.209;24.878;6.138;482;0;92.263;0
