Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2014;1.037.408;0;1.037.408;0;1.037.408;5.382.404;18.526;0;71.231;6.197;95.954;846.690;6.325.048;NA;16,40%;16,40%;16,40%;NA%;20,29%
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;09/2014;1.252.223;0;1.252.223;0;1.252.223;5.118.286;135.316;0;648.691;0;784.007;411.285;6.313.578;NA;19,83%;19,83%;19,83%;NA%;8,49%
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;09/2014;998.885;0;998.885;0;998.885;3.810.989;22.042;0;1.902.781;106.704;2.031.527;460.500;6.303.016;NA;15,85%;15,85%;15,85%;NA%;4,20%
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2014;1.174.810;0;1.174.810;0;1.174.810;5.831.387;0;0;0;0;0;409.772;6.241.160;NA;18,82%;18,82%;18,82%;NA%;2,48%
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2014;1.038.623;0;1.038.623;0;1.038.623;4.621.901;41.091;0;869.427;60.518;971.036;580.612;6.173.549;NA;16,82%;16,82%;16,82%;NA%;4,06%
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;09/2014;655.315;0;655.315;91.767;747.082;4.987.050;553.495;0;0;0;553.495;148.196;5.688.742;NA;11,52%;11,52%;13,13%;NA%;0,63%
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;09/2014;660.722;0;660.722;126.092;786.815;5.011.997;86.382;0;306.873;0;393.255;149.349;5.554.600;NA;11,90%;11,90%;14,17%;NA%;6,09%
BANCOOB;51750;b1;;C;2;BRASILIA;DF;09/2014;720.461;0;720.461;0;720.461;4.778.855;33.444;0;37.878;0;71.322;468.457;5.318.635;NA;13,55%;13,55%;13,55%;NA%;9,95%
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;09/2014;1.334.479;0;1.334.479;34.907;1.369.386;2.662.842;33.697;0;1.305.347;82;1.339.126;915.795;4.917.763;NA;27,14%;27,14%;27,85%;NA%;2,55%
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;09/2014;701.388;0;701.388;494.526;1.195.914;4.450.777;115.160;0;25.018;0;140.178;145.335;4.736.291;NA;14,81%;14,81%;25,25%;NA%;0,32%
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2014;599.914;0;599.914;0;599.914;4.251.190;25.823;18.579;108.348;1.621;154.372;147.451;4.553.013;NA;13,18%;13,18%;13,18%;NA%;17,02%
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;09/2014;665.985;0;665.985;0;665.985;4.319.899;12.505;0;0;0;12.505;187.883;4.520.288;NA;14,73%;14,73%;14,73%;NA%;0,36%
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2014;793.805;0;793.805;0;793.805;4.182.581;4.848;0;0;0;4.848;265.577;4.453.006;NA;17,83%;17,83%;17,83%;NA%;1,00%
BES;51482;b2;;C;3;SAO PAULO;SP;09/2014;665.754;0;665.754;0;665.754;3.105.417;36.866;0;980.119;16.691;1.033.677;272.937;4.412.030;NA;15,09%;15,09%;15,09%;NA%;8,68%
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;09/2014;791.494;0;791.494;0;791.494;3.923.566;29.433;0;225.118;0;254.551;160.220;4.338.337;NA;18,24%;18,24%;18,24%;NA%;2,22%
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;09/2014;1.264.266;0;1.264.266;0;1.264.266;3.421.958;3.002;0;29.894;0;32.896;575.279;4.030.132;NA;31,37%;31,37%;31,37%;NA%;47,43%
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;09/2014;1.091.446;0;1.091.446;0;1.091.446;3.710.406;5.513;0;0;0;5.513;143.098;3.859.017;NA;28,28%;28,28%;28,28%;NA%;3,30%
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2014;600.939;0;600.939;0;600.939;3.143.261;298.056;22;193.059;18.013;509.150;188.014;3.840.426;NA;15,65%;15,65%;15,65%;NA%;35,59%
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;09/2014;529.721;0;529.721;37.317;567.038;3.603.691;0;0;0;0;0;230.185;3.833.876;NA;13,82%;13,82%;14,79%;NA%;5,49%
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;09/2014;1.982.456;0;1.982.456;0;1.982.456;1.989.131;0;0;0;0;0;1.740.369;3.729.500;NA;53,16%;53,16%;53,16%;NA%;1,10%
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;09/2014;637.508;0;637.508;0;637.508;3.447.284;116;0;0;0;116;214.029;3.661.429;NA;17,41%;17,41%;17,41%;NA%;5,83%
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;09/2014;498.827;0;498.827;20.318;519.145;3.416.675;0;0;0;0;0;54.150;3.470.825;NA;14,37%;14,37%;14,96%;NA%;3,11%
HONDA;51396;b2;;C;3;SAO PAULO;SP;09/2014;573.166;0;573.166;0;573.166;3.058.118;0;0;0;0;0;120.136;3.178.255;NA;18,03%;18,03%;18,03%;NA%;0,08%
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2014;545.346;0;545.346;0;545.346;2.866.516;0;0;0;0;0;270.886;3.137.402;NA;17,38%;17,38%;17,38%;NA%;1,16%
BBM;30207;b1;;C;2;SALVADOR;BA;09/2014;579.226;0;579.226;0;579.226;2.140.752;34.296;0;712.200;23;746.519;204.365;3.091.636;NA;18,74%;18,74%;18,74%;NA%;8,13%
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;09/2014;1.173.505;0;1.173.505;0;1.173.505;1.947.050;21.687;0;736.419;0;758.105;286.485;2.991.640;NA;39,23%;39,23%;39,23%;NA%;4,85%
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;09/2014;748.376;0;748.376;0;748.376;2.600.047;2.028;0;0;0;2.028;256.813;2.858.888;NA;26,18%;26,18%;26,18%;NA%;0,77%
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;09/2014;510.148;0;510.148;0;510.148;2.545.145;3.945;0;4.439;22.179;30.563;243.090;2.818.798;NA;18,10%;18,10%;18,10%;NA%;18,75%
ING;51073;b1;;C;3;SAO PAULO;SP;09/2014;852.020;0;852.020;0;852.020;1.764.529;11.770;0;765.333;0;777.103;138.380;2.680.013;NA;31,79%;31,79%;31,79%;NA%;0,34%
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2014;923.336;0;923.336;0;923.336;2.317.801;0;0;0;0;0;317.937;2.635.738;NA;35,03%;35,03%;35,03%;NA%;7,95%
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;09/2014;470.155;0;470.155;14.862;485.017;2.273.492;48.817;0;107.697;0;156.514;192.736;2.622.742;NA;17,93%;17,93%;18,49%;NA%;8,89%
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;09/2014;405.918;0;405.918;172.667;578.585;2.031.903;4.721;210;3.754;7.427;16.113;448.042;2.496.058;NA;16,26%;16,26%;23,18%;NA%;10,98%
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;09/2014;235.700;0;235.700;60.262;295.961;1.171.063;535.482;0;481.045;50.036;1.066.564;99.465;2.337.091;NA;10,09%;10,09%;12,66%;NA%;13,96%
RODOBENS;51736;b1;;I;2;SAO PAULO;SP;09/2014;459.109;0;459.109;0;459.109;2.220.055;0;0;3.711;0;3.711;53.179;2.276.944;NA;20,16%;20,16%;20,16%;NA%;22,49%
