Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2021;7.257.595;0;814.025;796.963;145.545;339.000;197.042;0;2.292.575;0;0;0;0;0;0;0;0;0;83.398;86.034;0;0;0;0;169.432;0;1.003.654;320.672;3.820;0;0;0;1.328.145;0;436.052;2.656.181;247.627;26.381;0;0;3.366.242;0;595;14.369;0;0;0;0;14.963;0;0;0;0;0;0;0;0;0;6.828;74.409;5.000;0;0;0;86.237;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;09/2021;7.248.123;0;2.307;6.319;12.681;7.905;15.767;0;44.979;8.456;437.625;1.221.128;2.163.482;599.238;1.657;0;4.431.587;0;0;0;0;0;0;0;0;56;64.964;81.280;0;0;0;0;146.301;0;0;0;0;0;0;0;0;1.569;13.737;34.921;50.407;9.217;0;0;109.851;13.057;201.792;590.542;1.163.952;523.858;22.204;0;2.515.405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2021;6.410.169;14.648;100.542;312.946;361.620;72.765;130.362;0;992.883;19.249;101.658;301.179;376.944;18.459;9.939;0;827.428;353;947;7.535;7;0;0;0;8.842;3;2.469;255;0;0;0;0;2.727;72.942;83.298;144.470;0;0;0;0;300.709;598;15.977;26.973;56.091;40.702;109.222;0;249.564;142;44.898;123.692;393.856;426.517;1.617.712;616.901;3.223.717;5.343;188.592;259.166;350.405;296;497;0;804.299;0;0;0;0;0;0;0;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2021;6.359.222;6.265;239.083;465.065;626.073;40.878;15.309;5.901;1.398.573;0;0;0;0;0;0;0;0;4.537;32.880;0;0;0;0;0;37.417;29.102;2.004.329;53.896;0;0;0;0;2.087.327;0;52.602;266.422;60.558;0;0;5.950;385.533;15.900;95.463;177.157;87.500;4.610;431;48.326;429.387;0;15.606;34.230;72.696;4.716;0;0;127.248;0;0;47.418;8.500;0;0;0;55.918;0;0;0;0;0;0;0;0;1.837.821
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;09/2021;6.279.276;0;46.922;482.996;1.317.600;176.002;95.000;0;2.118.520;0;182.442;217.084;1.304.703;398.287;646.120;258.324;3.006.961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;728;14.697;866.705;24.555;5.302;0;911.986;0;947;0;0;0;0;0;947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240.862
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;09/2021;5.908.102;289;3.986;14.871;29.014;8.539;0;0;56.700;7.293;369.243;1.101.992;2.072.348;714.180;769;0;4.265.824;0;0;0;0;0;0;0;0;0;31.581;0;0;0;0;0;31.581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.183;152.286;417.931;727.999;252.462;137;0;1.553.997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;09/2021;5.833.514;5.824;414.044;814.241;575.891;55.258;446;0;1.865.705;0;188;158;0;0;0;0;346;5.599;381.228;233.222;71.075;0;0;0;691.125;1.120;550.606;27.958;1.101;0;0;0;580.785;42;215.527;203.559;100.049;326;0;0;519.503;1.236;60.429;53.362;10.720;2.190;1.191;0;129.127;4.324;135.869;506.722;1.086.996;288.377;0;0;2.022.289;0;19.625;5.009;0;0;0;0;24.634;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2021;5.830.583;0;331.384;2.925;0;0;0;0;334.309;11.763;220.424;628.684;1.212.136;464.311;2.003;0;2.539.321;0;0;0;0;0;0;0;0;1.130;1.966.947;28.937;2.834;0;0;0;1.999.848;0;0;0;0;0;0;0;0;1.792;7.388;18.190;48.082;24.544;2.453;0;102.448;8.215;66.298;176.766;297.527;73.130;153;0;622.090;2.988;13.145;44.434;88.428;59.620;23.952;0;232.568;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2021;5.569.561;6.031;134.926;409.453;871.082;178.661;27.278;97.626;1.725.056;623;130.049;286.630;566.555;121.946;38.477;204;1.144.485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;41.161;105.632;60.219;3.386;237;0;210.820;4.088;112.914;304.133;662.692;386.004;350.913;21.365;1.842.107;162;66.989;332.681;149.010;48.940;49.310;0;647.092;0;0;0;0;0;0;0;0;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;09/2021;5.344.098;270;1.222.562;2.338.346;468.486;1.155.569;109.204;0;5.294.437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.660;0;0;0;0;49.660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
