Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
RURAL;31.244;b1;C;2;;199;BELO HORIZONTE;MG;03/2013;2.018.682;297.246;708.785;76.938;295.753;172.544;80.424;6.527;15.264;114.170;251.030
COOPERATIVA DE CRÉDITO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;03/2013;1.971.150;554.637;1.302.916;32.033;18.930;10.344;13.594;8.802;4.716;25.178;0
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;03/2013;1.839.413;0;1.621.106;62.542;78.006;22.273;20.336;6.279;4.996;23.876;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;03/2013;1.670.716;7.053;529.868;489.115;492.651;51.073;18.720;9.131;39.701;33.405;0
BES;51.482;b2;C;3;;198;SAO PAULO;SP;03/2013;1.663.386;1.439.689;31.452;1.240;11.480;30.359;0;0;0;0;149.166
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;03/2013;1.607.839;405.795;682.508;387.646;54.121;26.665;8.349;2.593;14.499;25.664;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;03/2013;1.570.817;190.419;440.106;558.415;301.928;33.947;10.767;3.418;2.566;29.251;0
PERNAMBUCANAS;40.699;n1;C;2;;197;SAO PAULO;SP;03/2013;1.474.830;0;993.998;81.613;59.839;56.594;38.655;32.129;30.625;181.377;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;03/2013;1.460.851;1.430.033;20.740;10.078;0;0;0;0;0;0;0
RODOBENS;51.736;b1;C;2;;199;SAO PAULO;SP;03/2013;1.439.111;80.233;1.126.836;91.509;74.736;23.069;9.895;7.769;6.035;19.030;0
JP MORGAN CHASE;20.107;b1;C;3;;199;SAO PAULO;SP;03/2013;1.314.411;1.114.753;80.931;66.692;0;0;0;52.036;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;;19;BARUERI;SP;03/2013;1.302.982;764.697;275.235;86.134;51.748;35.799;44.015;18.362;9.354;17.637;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;03/2013;1.287.581;537.640;631.641;36.384;17.177;11.415;4.369;29.695;1.699;17.561;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;03/2013;1.255.197;585.654;600.153;43.203;18.933;0;0;7.254;0;0;0
BBM;30.207;b1;C;2;;199;SALVADOR;BA;03/2013;1.223.423;92.503;445.716;409.214;232.772;18.290;2.078;518;43;7.713;14.576
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;03/2013;1.197.001;406.807;637.096;44.015;25.766;11.770;1.687;12.015;1.565;56.280;0
BANIF;20.255;b1;C;3;;199;SAO PAULO;SP;03/2013;1.191.025;1.323;302.976;196.038;255.976;45.231;168.365;135.871;5.312;79.933;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;03/2013;1.162.852;275.114;290.975;263.881;202.017;31.727;10.578;11.927;12.111;64.522;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;03/2013;1.142.405;0;746.463;60.305;59.010;43.879;27.508;23.262;22.796;159.182;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;;25;BRASILIA;DF;03/2013;1.093.603;665.488;324.154;20.758;19.042;16.570;14.544;4.890;5.759;22.398;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;03/2013;1.010.236;707.234;219.096;83.906;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;03/2013;970.292;0;815.265;102.064;22.474;10.443;5.280;3.691;2.169;8.906;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;;9;BRASILIA;DF;03/2013;935.373;768.983;121.092;13.985;8.686;3.267;1.859;3.355;3.414;10.731;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;;8;SAO PAULO;SP;03/2013;928.637;574.024;220.811;105.789;19.448;8.566;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;;5;VITORIA;ES;03/2013;877.513;3.262;608.033;160.734;59.113;9.074;5.833;12.981;2.036;16.446;0
