Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2022;9.019.692;25.438;437.150;1.190.740;2.182.498;1.198.644;513.076;0;5.547.545;93.454;565.669;984.339;985.339;226.808;65.761;8;2.921.377;10;102;114;21;3;0;0;250;49;1.048;3.019;7.373;6.483;21.683;7.013;46.668;18.761;273.074;66.132;967;0;0;0;358.934;0;16;12.688;1.405;0;0;0;14.109;10.212;51.574;51.339;13.069;4.596;18;0;130.809;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;06/2022;8.998.754;12.823;303.079;1.144.026;2.167.946;1.340.136;1.874.254;1.635;6.843.900;21.849;255.076;579.620;486.515;148.568;33.999;0;1.525.627;25;9;27;68;71;71;0;271;37;7.618;22.803;53.282;43.570;123.952;48.001;299.264;37.951;87.530;26.137;3.088;0;0;2;154.708;0;54;1.182;11.026;5.579;4.289;0;22.129;4.270;15.234;26.406;44.203;26.325;34.798;1.620;152.856;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2022;8.790.066;59.171;376.808;1.107.602;2.182.504;1.374.133;678.639;513;5.779.369;1.993;2.413;12.763;1.443;538;133;0;19.284;85;206;479;302;0;0;0;1.072;0;0;0;0;0;0;0;0;125.268;1.725.992;626.563;220.156;34.087;0;0;2.732.065;0;9.574;724;0;0;0;0;10.298;11.231;31.337;63.113;92.847;36.837;12.613;0;247.978;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;06/2022;8.587.635;165;1.792;4.417;5.410;961;14;0;12.760;11.418;93.663;297.421;238.466;11.008;1.562;18.511;672.049;116;2.315;7.572;10.214;2.213;28;0;22.458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.795;581.063;2.577.277;2.642.769;712.931;1.082.889;117.515;7.754.239;12.294;62.874;48.748;1.104;246;862;0;126.130;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2022;8.415.657;770;4.447;11.554;12.800;2.370;11;0;31.952;3.512;9.462;30.138;61.980;6.482;21;0;111.595;77.336;967.400;2.678.261;3.949.369;598.344;1.400;0;8.272.110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;06/2022;8.334.976;21.321;417.109;1.155.155;2.262.064;1.368.748;704.162;0;5.928.560;209.996;548.758;903.579;304.822;1.099;414;0;1.968.669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.876;389.244;12.588;7;0;0;0;434.716;0;0;0;0;0;0;0;0;1.490;267;1.138;112;24;1;0;3.031;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;06/2022;7.039.894;327;7.709;40.238;63.728;20.074;316;0;132.391;1.365;4.365;11.129;7.637;71;12;0;24.579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.283;22.612;7.312;288;0;0;0;32.495;17.726;145.252;837.472;69.913;2.418;2.014;0;1.074.795;256.980;3.785.379;1.641.290;89.562;1.215;1.150;58;5.775.634;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;06/2022;6.635.746;0;0;0;0;0;0;0;0;5;304;736;1.166;139;0;0;2.351;22.725;818.816;2.141.334;3.104.830;483.851;960;0;6.572.516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;9.189;22.401;26.611;2.486;1;0;60.879;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;06/2022;6.507.760;0;0;0;0;0;0;0;0;199;3.582;10.916;19.931;7.856;1.445;0;43.929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.217;678.991;1.094.423;2.491.020;1.455.844;598.390;0;6.333.885;101;8.578;20.387;44.735;34.705;21.441;0;129.947;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;06/2022;6.282.199;19.605;428.588;1.164.283;2.311.964;1.434.779;856.056;0;6.215.275;0;6.998;14.631;24.402;8.779;2.451;1;57.262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296;590;1.604;3.056;1.764;2.265;87;9.662;0
