Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2006;369.881;95.661;320.936;-31.733;4.810;12.093;771.648;-451.197;-42.019;-68.287;0;-19.395;-580.898;190.750;20.005;0;-41.114;-65.838;-5.416;10.248;12.180;-18.672;-88.607;102.143;554;102.697;-23.568;-3.776;75.353;-20.950
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;06/2006;567.865;121.383;2.447;0;0;0;691.695;-245.376;-69.062;-91.663;0;-69.862;-475.964;215.732;0;0;-4;-50.709;-11.381;4.211;8.446;-101.168;-150.605;65.126;1.891;67.018;-34.649;0;32.369;0
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;06/2006;593.033;0;48.548;-12.513;0;0;629.068;-78.977;-15.398;0;-68;-61.319;-155.762;473.306;146.342;0;-39.242;-238.614;-32.428;5.811;20.880;-249.611;-386.861;86.446;1.911;88.356;-19.494;-10.701;58.162;-16.000
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;06/2006;291.264;0;107.021;64.996;141.849;194;605.324;-267.103;-16.275;0;0;-47.236;-330.615;274.710;43.292;0;-25.780;-80.153;-13.161;8.456;9.315;-126.272;-184.303;90.406;-68;90.338;-26.070;-14.362;49.907;0
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2006;319.577;2.193;232.484;-26.013;0;3.841;532.082;-348.867;-28.978;-1.015;-20.790;-23.770;-423.420;108.661;15.121;0;-41.369;-41.504;-22.925;-102;79.834;-27.392;-38.336;70.325;-2.334;67.991;-12.859;-3.227;51.905;-14.642
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2006;392.474;7.420;131.834;-22.213;1.471;12.485;523.472;-252.035;-10.930;-5.002;0;-91.795;-359.761;163.710;54.164;0;-97.133;-113.937;-17.123;9.498;26.799;-11.816;-149.548;14.163;2.159;16.322;155;-380;16.097;-8.421
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2006;12.905;9;348.845;117.648;0;118;479.525;-264.780;-106.794;0;-200;3.758;-368.015;111.509;38.891;0;-27.602;-22.232;-45.382;1;109.742;-47.038;6.379;117.888;675;118.564;-20.504;-18.179;79.881;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2006;52.696;0;165.124;120.886;63.257;0;401.963;-362.486;-71.548;0;0;0;-434.034;-32.071;28.896;0;-46.685;-25.611;-22.501;2.920;55.890;-23.120;-30.211;-62.282;-138;-62.420;-4.445;0;-66.865;-29.000
BANESTES;30159;b1;;C;1;VITORIA;ES;06/2006;155.644;16.520;192.227;1.696;5.632;27.123;398.843;-214.339;-24.033;-10.911;0;-15.876;-265.159;133.683;73.834;0;-70.960;-57.146;-14.747;5.868;39.674;-29.463;-52.940;80.743;3.378;84.121;-16.195;-6.640;61.286;-7.857
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;06/2006;1.017;386.346;46;-20.985;0;0;366.424;-28.604;-17.181;-324.670;0;-2.068;-372.523;-6.099;0;0;0;-15.062;-3.812;0;44.640;-8.437;17.329;11.230;0;11.230;-7.629;0;3.602;0
