Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
SS;31323;b1;;C;2;SAO PAULO;SP;06/2007;2.221;723.259;337.209;2.090.797;-169.389;1.921.408;9.152;712.575;261.683;-26.176;957.234;497.048;212.033;136.687;4.787.099;261.683;4.525.416
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;06/2007;1.091;68.005;264.995;3.125.561;-561.969;2.563.592;0;0;0;0;0;1.409.281;41.711;107.662;4.456.337;0;4.456.337
SOFISA;31873;b1;;C;2;SAO PAULO;SP;06/2007;88.076;207.443;1.188.402;1.728.872;-26.149;1.702.722;0;1.511;133;-211;1.433;119.843;440.512;370.164;4.118.596;133;4.118.463
BRB;31976;b1;;C;1;BRASILIA;DF;06/2007;44.607;498.810;1.005.916;1.691.385;-81.912;1.609.473;0;0;0;0;0;311.265;543.875;83.756;4.097.703;0;4.097.703
PINE;50304;b1;;C;2;SAO PAULO;SP;06/2007;16.660;78.785;1.940.147;1.863.411;-44.491;1.818.920;0;0;0;0;0;170.079;47.083;19.630;4.091.305;0;4.091.305
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;06/2007;5.113;879.661;1.684.701;1.203.255;-4.068;1.199.186;0;0;0;0;0;42.668;169.342;63.897;4.044.568;0;4.044.568
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2007;7.249;279.810;586.181;2.581.343;-30.520;2.550.822;0;0;0;0;0;554.701;43.487;10.185;4.032.436;0;4.032.436
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;06/2007;9.157;262.127;93.103;3.502.121;-215.291;3.286.830;657;75.137;28.813;-2.846;101.761;122.870;5.341;13.782;3.894.970;28.813;3.866.157
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;06/2007;555;0;0;1.983.212;-48.075;1.935.137;5.627;1.569.333;481.249;-30.214;2.025.995;186.455;13.422;12.620;4.174.183;481.249;3.692.934
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;06/2007;552;100.549;2.994.306;620;0;620;0;0;0;0;0;305.502;81;424;3.402.034;0;3.402.034
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;06/2007;1.136;834.787;947.739;0;0;0;0;0;0;0;0;1.457.801;161;23.306;3.264.929;0;3.264.929
WESTLB;51554;b1;;I;3;SAO PAULO;SP;06/2007;2.511;50.643;921.284;801.009;-15.614;785.395;0;0;0;0;0;1.413.360;292;7.464;3.180.949;0;3.180.949
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;06/2007;1.087;543.698;1.863.187;379.491;-7.876;371.615;0;0;0;0;0;141.535;26.338;96.921;3.044.381;0;3.044.381
MELLON SERVIÇOS FINANCEIROS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2201501;n2;;I;3;RIO DE JANEIRO;RJ;06/2007;1.276;2.747.507;26.131;0;0;0;0;0;0;0;0;8.900;71;16.698;2.800.583;0;2.800.583
OPPORTUNITY;51107;b1;;C;2;RIO DE JANEIRO;RJ;06/2007;1.325;1.658.242;47.092;0;0;0;0;0;0;0;0;656.214;4.067;57.066;2.424.005;0;2.424.005
BMC;30276;b1;;C;2;SAO PAULO;SP;06/2007;2.738;18.426;933.558;946.950;-43.178;903.773;18;-345;242;-3;-88;314.907;123.062;21.375;2.317.750;242;2.317.508
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;06/2007;436;168.109;44.678;2.115.370;-106.648;2.008.722;0;0;0;0;0;60.951;873;4.522;2.288.292;0;2.288.292
BGN;51097;b1;;C;2;RECIFE;PE;06/2007;177;12.419;1.259.469;953.293;-50.270;903.022;0;0;0;0;0;25.207;71.910;5.594;2.277.798;0;2.277.798
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL - CENTRAL SICREDI RS;87437687;b3C;;I;2;PORTO ALEGRE;RS;06/2007;159;902.330;1.209.386;11.271;-6;11.265;0;0;0;0;0;3.328;31.866;21.518;2.179.852;0;2.179.852
DRESDNER BANK BRASIL S.A. BANCO MULTIPLO;29030467;b1;;I;3;SAO PAULO;SP;06/2007;1.706;187.192;1.366.165;531.544;-2.770;528.774;0;0;0;0;0;49.180;590;12.598;2.146.205;0;2.146.205
BES;51482;b2;;C;3;SAO PAULO;SP;06/2007;1.112;99.194;1.721.452;9.000;-45;8.955;0;0;0;0;0;203.068;274;38.107;2.072.161;0;2.072.161
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;06/2007;2.866;233.186;1.027.597;640.296;-11.502;628.794;24;8.904;4.213;-109;13.031;34.105;55.657;46.483;2.041.719;4.213;2.037.506
BANCO CARREFOUR S.A.;8357240;b2;;I;2;SAO PAULO;SP;06/2007;11.862;0;287.292;870.881;-209.327;661.554;0;0;0;0;0;1.042.018;12.784;596;2.016.106;0;2.016.106
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;06/2007;13.834;500.512;213.723;766.360;-62.107;704.253;0;0;0;0;0;329.259;123.578;57.543;1.942.702;0;1.942.702
BANIF;20255;b1;;C;3;SAO PAULO;SP;06/2007;42.051;177.044;434.035;488.707;-8.232;480.475;0;0;0;0;0;735.631;6.523;58.782;1.934.541;0;1.934.541
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;06/2007;560;580.739;166.522;598.268;-80.666;517.602;0;0;0;0;0;15.613;625.584;16.603;1.923.223;0;1.923.223
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;b2;;I;3;SAO PAULO;SP;06/2007;395;1.284.272;418.121;0;0;0;0;0;0;0;0;75.803;11;9.142;1.787.745;0;1.787.745
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;06/2007;15.312;207.724;195.866;807.099;-137.130;669.969;1.036;20.715;9.567;-9.459;21.858;466.664;70.337;119.494;1.767.225;9.567;1.757.658
BANCO FIDIS DE INVESTIMENTO S.A.;62237425;b2;;I;3;BETIM;MG;06/2007;57.506;346.699;94.534;1.153.465;-12.733;1.140.732;0;0;0;0;0;89.140;502;378;1.729.490;0;1.729.490
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;06/2007;385;536.440;242.300;757.299;-93.525;663.773;0;0;0;0;0;233.267;406;25.913;1.702.484;0;1.702.484
BANCO BARCLAYS S.A.;61146577;b1;;I;3;SAO PAULO;SP;06/2007;4.282;131.069;1.107.924;47.769;0;47.769;0;0;0;0;0;381.278;144;13.106;1.685.571;0;1.685.571
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S/A;60498557;b1;;I;3;SAO PAULO;SP;06/2007;935;579.177;53.476;151.336;-1.841;149.495;0;0;0;0;0;867.216;1.067;5.936;1.657.301;0;1.657.301
BANCO CACIQUE S.A.;33349358;b1;;I;2;SAO PAULO;SP;06/2007;3.522;155.789;463.767;963.889;-37.991;925.897;0;0;0;0;0;37.243;7.945;26.768;1.620.931;0;1.620.931
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;06/2007;1.837;127.894;532.584;696.794;-48.454;648.340;0;0;0;0;0;210.398;21.395;66.043;1.608.491;0;1.608.491
BANCO GE CAPITAL S.A.;62421979;b1;;I;3;SAO PAULO;SP;06/2007;2.108;76;13.000;1.444.055;-94.383;1.349.672;0;0;0;0;0;51.168;152.101;19.822;1.587.947;0;1.587.947
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;06/2007;24.031;240.388;662.494;365.888;-20.458;345.430;0;0;0;0;0;69.741;165.584;42.052;1.549.720;0;1.549.720
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;06/2007;7.666;66.537;170;190.205;-207;189.998;63.750;1.146.971;10.833;-16.140;1.205.414;71.777;17;11.317;1.552.897;10.833;1.542.063
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;06/2007;2.527;231.426;303.169;728.538;-15.052;713.486;0;0;0;0;0;229.230;7.356;30.866;1.518.060;0;1.518.060
JOHN DEERE;50071;b1;;C;3;PORTO ALEGRE;RS;06/2007;44;899;0;1.495.244;-92.881;1.402.363;0;0;0;0;0;37.025;3.349;1.863;1.445.544;0;1.445.544
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;06/2007;20.226;9.501;178;1.362.383;-19.521;1.342.862;124;11.611;3.961;-176;15.520;16.439;3.055;1.668;1.409.449;3.961;1.405.488
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;06/2007;52.679;500.111;466.723;227.605;-29.862;197.743;0;0;0;0;0;17.269;96.588;31.798;1.362.912;0;1.362.912
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;06/2007;103;41.282;655.672;589.865;-26.313;563.553;0;0;0;0;0;16.846;41.245;22.311;1.341.012;0;1.341.012
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;06/2007;1.271;61.708;0;1.163.639;-12.775;1.150.864;132;49.503;13.248;-177;62.706;17.008;5.086;5.237;1.303.879;13.248;1.290.631
CREDIT LYONNAIS;51066;b1;;C;3;SAO PAULO;SP;06/2007;8.572;676.708;220.313;38.408;0;38.408;0;0;0;0;0;323.203;3.780;18.691;1.289.675;0;1.289.675
CATERPILLAR;51231;n1;;C;3;SAO PAULO;SP;06/2007;454;0;151.587;854.991;-18.128;836.863;306;172.711;32.711;-1.508;204.219;24.237;4.562;1.909;1.223.833;32.711;1.191.122
CAIXA ESTADUAL S.A. - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;06/2007;38;0;297.722;898.072;-71.001;827.071;0;0;0;0;0;10.830;122;4.762;1.140.544;0;1.140.544
BRASCAN;50885;b1;;C;3;RIO DE JANEIRO;RJ;06/2007;1.431;454.266;349.682;122.134;-893;121.241;0;0;0;0;0;137.760;1.980;49.847;1.116.207;0;1.116.207
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;06/2007;1.528;0;0;928.096;-37.593;890.503;621;120.803;26.319;-2.166;145.576;34.850;3.200;13.455;1.089.113;26.319;1.062.793
COOPERATIVA DE CRÉDITO RURAL COOPERCITRUS - CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;06/2007;1.042;5.010;256.873;568.588;-9.469;559.118;0;0;0;0;0;1.339;193.395;33.615;1.050.392;0;1.050.392
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;06/2007;40.718;67.765;339.143;42.643;-1.086;41.557;0;0;0;0;0;500.519;14.131;2.515;1.006.349;0;1.006.349
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;06/2007;919;75.334;59.265;801.695;-23.516;778.180;0;0;0;0;0;34.511;13.058;42.010;1.003.278;0;1.003.278
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;06/2007;406;144.842;247.513;529.440;-11.108;518.332;0;0;0;0;0;14.621;19.877;44.255;989.846;0;989.846
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;06/2007;10.104;365.030;347.636;93.538;-213;93.325;0;0;0;0;0;153.794;735;1.561;972.185;0;972.185
FATOR;50122;b1;;C;2;SAO PAULO;SP;06/2007;517;222.639;333.185;91.784;-463;91.321;0;0;0;0;0;206.621;890;77.192;932.364;0;932.364
COOPERATIVA CENTRAL DE CRÉDITO DO PARANÁ - CENTRAL SICREDI PR;80230774;b3C;;I;2;CURITIBA;PR;06/2007;4;623.008;271.786;5.947;-59;5.887;0;0;0;0;0;1.167;6.253;9.166;917.272;0;917.272
