Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2004;375.980;215.968;720;2.122.747;0;2.715.415;733.914;0;0;0;0;0;0;100.965;3.550.294;24;264.083;3.814.401;1.897;420.180;4.236.477
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2004;224.757;117.735;39.098;656.857;70.990;1.109.436;360.451;0;0;0;0;0;0;255.869;1.725.756;0;1.011.453;2.737.209;0;1.466.307;4.203.516
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;06/2004;0;0;2.085.734;2.509;0;2.088.243;0;0;0;0;0;0;0;1.040.857;3.129.100;0;419.957;3.549.057;19.214;573.006;4.141.277
BBM;30207;b1;;C;2;SALVADOR;BA;06/2004;36.679;0;231.302;1.100.651;0;1.368.632;1.255.309;0;0;0;0;0;0;70.335;2.694.276;2.680;1.012.219;3.709.176;147;344.690;4.054.013
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;06/2004;17.741;0;48.813;365.940;0;432.493;2.756.707;0;0;0;76.166;24.813;100.979;9.027;3.299.206;240;62.361;3.361.807;76;127.819;3.489.703
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;06/2004;0;0;0;303.302;0;303.302;43.277;0;0;0;0;0;0;2.006.882;2.353.462;9.760;851.557;3.214.779;34;172.820;3.387.632
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;06/2004;0;0;10.162;75.303;0;85.465;0;0;0;0;0;0;0;2.420.940;2.506.405;0;32.193;2.538.599;90.642;430.728;3.059.968
SS;31323;b1;;C;2;SAO PAULO;SP;06/2004;5.975;0;185.171;1.780.814;1;1.971.961;165.410;0;0;0;0;151.848;151.848;0;2.289.219;333;251.080;2.540.632;0;305.224;2.845.856
BANESTES;30159;b1;;C;1;VITORIA;ES;06/2004;315.694;669.097;1;912.651;0;1.897.443;207.110;0;0;0;0;90.515;90.515;160.226;2.355.295;571;312.894;2.668.760;104;173.582;2.842.445
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2004;24.165;0;29.028;963.725;0;1.016.918;59.826;0;0;0;80.982;0;80.982;812.778;1.970.503;20.799;410.815;2.402.118;1.787;368.422;2.772.327
BANCO WESTLB DO BRASIL S.A.;61088183;b1;;I;3;SAO PAULO;SP;06/2004;353;0;0;48.908;0;49.261;439.037;0;0;0;964.323;0;964.323;70.305;1.522.926;78.148;753.524;2.354.597;149;341.263;2.696.010
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;1.963.909;1.963.909;0;121.677;2.085.586;0;525.243;2.610.829
BANCO GENERAL MOTORS S.A.;59274605;b2;;I;3;SAO PAULO;SP;06/2004;0;0;1.378.164;293.005;0;1.671.168;0;0;0;0;0;0;0;82.723;1.753.891;17.584;336.957;2.108.432;60.034;375.738;2.544.204
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2004;11.696;0;150.034;1.332.155;8;1.493.893;35.588;0;0;0;282.098;0;282.098;68.825;1.880.403;41.749;120.924;2.043.077;0;392.189;2.435.266
BANCO DO ESTADO DE SANTA CATARINA S.A.;83876003;b1;;I;1;FLORIANOPOLIS;SC;06/2004;394.762;0;0;389.815;0;784.578;961.301;0;0;0;0;0;0;50.599;1.796.478;0;496.030;2.292.508;0;130.095;2.422.603
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;06/2004;21.532;0;122.142;304.791;0;448.464;1.321.784;0;0;0;0;0;0;318.078;2.088.326;0;63.514;2.151.841;0;82.767;2.234.607
BMC;30276;b1;;C;2;SAO PAULO;SP;06/2004;32.711;0;33.111;957.118;0;1.022.940;368.731;0;0;0;8.166;0;8.166;366.688;1.766.526;640;148.106;1.915.272;680;229.916;2.145.868
BRB;31976;b1;;C;1;BRASILIA;DF;06/2004;253.103;406.999;3.520;724.467;4.815;1.392.904;112.841;0;0;0;0;59.212;59.212;49.914;1.614.871;0;210.165;1.825.037;152;245.989;2.071.178
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;06/2004;2.502;0;113.140;379.708;0;495.350;776.924;0;0;0;0;0;0;362.690;1.634.964;0;219.294;1.854.259;29;58.398;1.912.686
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;06/2004;10.885;0;23.013;229.205;0;263.103;1.000.454;0;0;0;0;0;0;421.345;1.684.903;57;39.066;1.724.026;755;138.130;1.862.912
DRESDNER;51059;b1;;C;3;SAO PAULO;SP;06/2004;1.637;0;0;2.284;0;3.921;0;0;0;0;203.303;0;203.303;349.445;556.669;4.922;996.507;1.558.097;307;288.778;1.847.182
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;06/2004;5.282;0;77.570;532.525;0;615.376;0;0;0;0;0;0;0;16.575;631.951;2.270;710.667;1.344.888;41.373;333.273;1.719.534
BANCO DE TOKYO-MITSUBISHI BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;06/2004;13.372;0;4.000;128.353;0;145.725;353.639;0;0;0;0;0;0;726.383;1.225.746;4.452;92.889;1.323.087;409;375.791;1.699.287
